location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Snowfall Amount,Relative Humidity,Relative Humidity,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,cm,%,%,%,%,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,sfc,2 m,2 m,2 m,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Summation,Maximum,Minimum,Mean,Mean,Maximum,Minimum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20210101T0000,4.1505284,-0.9194713,1.6930285,1.8000001,0.56,91.0,76.0,85.416664,87.166664,22.366402,5.0911684,13.395587,321.63544
20210102T0000,5.7005286,-0.7394713,1.2721955,0.0,0.0,94.0,60.0,83.666664,82.875,20.188908,5.8603754,12.937491,6.8197784
20210103T0000,2.6005285,-1.2994714,0.24302863,0.3,0.21000001,94.0,70.0,85.208336,94.0,22.086521,2.8799999,14.477715,336.97876
20210104T0000,3.5705285,-1.3094714,0.53136194,0.0,0.0,95.0,68.0,82.416664,47.708332,15.034041,4.32,8.430879,87.554184
20210105T0000,2.5405285,-1.2594713,0.31719533,0.0,0.0,96.0,65.0,82.333336,71.75,9.585739,2.16,5.62699,323.99927
